frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt,fvangleX,fvangleY,var_fvangleX,var_fvangleY,var_fvangle
119, 0, 7.535, 0.98, 1, -7.184, 36.729, 158.4, -270.7, 653.8, 36.322, 4.604, -3.718,-4.895833333333336,0,94870.03816675636,1670.7455900006807,0
120, 0, 7.583, 0.98, 1, -6.657, 36.913, 153.6, -274.0, 655.4, 36.273, 4.369, -2.850,-33.499999999999766,0,94276.15546701265,1670.7455900006807,0
121, 0, 7.621, 0.98, 1, -5.254, 35.614, 149.5, -278.7, 662.4, 34.801, 3.096, -1.587,-37.48888888888895,0,94962.50770087143,1670.7455900006807,0
122, 0, 7.666, 0.98, 1, -3.916, 35.055, 145.6, -278.2, 659.2, 33.833, 1.409, -1.507,0,0,95684.39940895735,1670.7455900006807,0
123, 0, 7.712, 0.98, 1, -4.202, 34.174, 143.4, -279.8, 661.4, 32.586, 2.209, -3.014,0,0,95684.39940895735,1670.7455900006807,0
124, 0, 7.763, 0.98, 1, -3.831, 33.902, 140.1, -286.8, 674.0, 31.803, 2.465, -2.094,-8.789473684210469,0,95684.39940895735,1670.7455900006807,0
125, 0, 7.801, 0.98, 1, -3.716, 32.668, 137.0, -288.9, 677.4, 30.089, 2.131, -1.574,-3.78000000000001,0,95877.1593431693,1670.7455900006807,0
126, 0, 7.851, 0.88, 1, -3.531, 31.406, 134.9, -292.5, 683.5, 28.256, 1.942, -1.299,-983.3636363636455,0,95961.63371844408,1670.7455900006807,0
127, 0, 7.895, 0.93, 1, 39.893, 24.946, -663.4, -495.0, 1642.3, 25.058, -41.326, 18.707,-4.456953642384124,13.841059602649024,119.89590284391885,1670.7455900006807,1550.849687156762
128, 0, 8.046, 0.98, 1, 40.583, 26.750, -663.1, -495.0, 1648.7, 27.148, -41.999, 21.638,0,130.06122448979258,121.35980841316382,1691.5922115784222,1570.2324031652583
129, 0, 8.095, 0.98, 1, 40.609, 30.156, -633.9, -471.4, 1590.7, 33.521, -41.428, 26.428,-34.83673469387793,0,121.35980841316382,0.03600000000000107,0
130, 0, 8.144, 0.98, 1, 41.587, 30.251, -638.8, -478.0, 1607.0, 33.058, -43.135, 26.997,0,0,0,8.43963362003956,8.43963362003956
