frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt,fvangleX,fvangleY,var_fvangleX,var_fvangleY,var_fvangle
127,0,4.204,0.98,1,-5.882,29.931,595.6,-111.5,1441.4,25.439,-4.421,6.53,-24,0,56.8313669,3.568207326,0
128,0,4.238,0.98,1,-5.813,26.443,599.8,-111.6,1451.7,24.971,-5.237,6.904,-2.333333333,0,29.9394285,3.568207326,0
129,0,4.271,0.98,1,-6.29,26.619,600.3,-111.5,1452.3,24.931,-5.314,6.739,0,0,30.04394736,3.568207326,0
130,0,4.304,0.98,1,-5.577,26.882,597.2,-110.8,1443.8,24.838,-5.064,6.552,-13.64705882,0,25.8054933,3.431731456,0
131,0,4.338,0.98,1,-3.775,29.166,594.6,-110.3,1436.4,24.658,-5.528,6.456,-8.181818182,1.848484848,28.22623124,3.431731456,0
132,0,4.371,0.98,1,-1.276,33.743,593.3,-109.9,1432.1,24.719,-5.798,6.511,-10.06060606,0,32.66149295,3.379228128,0
133,0,4.404,0.98,1,1.244,35.121,592.4,-109.7,1430.1,24.553,-6.13,6.432,-17.20588235,0,33.97580781,7.318557248,0
134,0,4.438,0.98,1,2.658,34.055,592.3,-109.4,1429,24.454,-6.715,6.424,-6,5.272727273,15.93641212,7.318557248,0
135,0,4.471,0.98,1,3.002,33.278,593,-109.3,1430.2,24.628,-6.913,6.263,-7.558823529,0,16.01976468,6.121776607,0
136,0,4.505,0.98,1,3.27,32.096,594.1,-109.5,1432.7,24.545,-7.17,6.207,-1.303030303,3.484848485,14.45432918,6.715521543,0
137,0,4.538,0.98,1,2.957,31.376,593.5,-109.1,1431.5,24.66,-7.213,6.198,-4.575757576,0,14.32681278,6.393259956,0
138,0,4.571,0.98,1,3.405,30.714,593.4,-109.2,1430.7,24.505,-7.364,6.359,-2.235294118,0,14.47535044,6.393259956,0
139,0,4.605,0.98,1,3.147,30.193,593.3,-109,1430.5,24.42,-7.44,6.419,-12.27272727,1.333333333,14.96004048,6.393259956,0
140,0,4.638,0.98,1,3.16,30.052,592.1,-108.7,1427.2,24.464,-7.845,6.48,0,0,1.955422104,6.6668983,4.711476196
141,0,4.671,0.98,1,2.859,29.921,591.9,-108.5,1426.8,24.369,-7.766,6.495,0,1.058823529,1.955422104,13.28127739,11.32585528
142,0,4.705,0.98,1,3.128,30.099,592.1,-108.6,1427.2,24.405,-7.662,6.468,0,7.636363636,1.955422104,13.23373051,11.27830841
143,0,4.738,0.98,1,3.591,30.527,591.8,-108.5,1426,24.657,-7.621,6.302,-3.484848485,0,1.885360764,10.41482488,8.529464113
144,0,4.771,0.98,1,3.203,30.523,592,-108.6,1426.6,24.519,-7.736,6.295,-0.823529412,0,1.046760861,10.13883863,9.092077772
145,0,4.805,0.98,1,3.299,30.558,591.9,-108.4,1426.1,24.436,-7.764,6.365,0,4.363636364,1.041410302,10.13883863,9.097428331
146,0,4.838,0.98,1,2.609,30.518,591.9,-108.4,1426.3,24.58,-7.635,6.317,-3.235294118,2.176470588,1.083855224,9.621148361,8.537293137
147,0,4.872,0.98,1,2.992,30.681,591.3,-108.3,1425.1,24.654,-7.745,6.269,0,0,0.19605566,9.733700643,9.537644983
148,0,4.905,0.98,1,4.398,30.921,591.9,-108.4,1426.3,24.571,-7.531,6.206,0,0,0.48758485,9.733700643,9.246115793
149,0,4.938,0.98,1,4.43,30.88,592.1,-108.4,1426.4,24.492,-7.462,6.174,0,0,0.48758485,9.733700643,9.246115793
150,0,4.972,0.98,1,4.208,30.652,592.7,-108.7,1427.7,24.446,-7.348,6.075,0,10,26.13100899,9.733700643,0
151,0,5.005,0.98,1,3.633,31.28,593.7,-108.9,1430.7,24.776,-7.057,5.773,0,1.212121212,26.13100899,0.205081114,0
152,0,5.038,0.98,1,3.341,31.192,594.1,-109.2,1432.2,24.816,-6.963,5.645,-0.794117647,0,26.13100899,0.082644628,0
153,0,5.072,0.98,1,4.503,31.311,593.7,-109.1,1431.2,24.654,-6.99,5.638,0,0.909090909,26.41862302,0.082644628,0
154,0,5.105,0.98,1,4.876,31.453,593.8,-109.2,1432,24.684,-6.936,5.581,-0.151515152,0,26.41862302,0,0
155,0,5.138,0.98,1,4.482,31.436,593.1,-109.3,1431,24.503,-6.941,5.502,-1.264705882,0,26.48272512,0,0
156,0,5.172,0.98,1,4.798,30.925,592.1,-109.3,1429.2,24.294,-6.984,5.512,0,0,26.84145923,0.199307958,0
157,0,5.205,0.98,1,4.892,31.34,591.3,-109.7,1428.8,24.151,-6.925,5.522,-1.970588235,0,26.84145923,0.199307958,0
158,0,5.239,0.98,1,5.441,31.086,589.9,-109.6,1426.4,24.058,-6.992,5.611,0,0,27.17502296,0.199307958,0
159,0,5.272,0.98,1,5.83,30.696,589.1,-109.9,1425.7,23.596,-6.758,5.592,-16.48484848,0,27.17502296,0.199307958,0
160,0,5.305,0.98,1,5.988,30.129,587.1,-110.2,1422.5,22.942,-7.302,5.784,0,0,0,0.199307958,0.199307958
161,0,5.339,0.98,1,5.48,29.999,585.5,-110.4,1420.6,22.6,-7.118,5.719,0,0,0,0.199307958,0.199307958
162,0,5.372,0.98,1,2.52,32.458,584.7,-111,1421.4,21.844,-6.656,5.82,0,0,0,0.199307958,0.199307958
163,0,5.405,0.98,1,-4.506,25.481,585.8,-112.3,1429,20.732,-6.45,6.026,0,0,0,0.199307958,0.199307958
164,0,5.439,0.98,1,-5.073,25.486,584.4,-113.6,1430.4,19.944,-4.695,5.935,0,0,0,0.199307958,0.199307958
165,0,5.472,0.98,1,-5.415,28.7,582.4,-115.1,1432.3,19.881,-2.017,5.728,0,1.411764706,0,20.51707036,20.51707036
166,0,5.506,0.98,1,-3.219,30.565,576.2,-116,1425.6,19.929,-0.075,5.545,0,0,0,504.2366205,504.2366205
167,0,5.539,0.98,1,-4.555,30.666,567.6,-116.6,1414.2,19.473,1.35,5.972,0,0,0,1058.475411,1058.475411
168,0,5.572,0.98,1,-8.434,31.097,559.8,-117.8,1405.5,18.711,3.969,6.304,0,0,0,1204.58766,1204.58766
169,0,5.606,0.98,1,-12.002,31.038,557.5,-119.8,1412.1,17.439,7.942,6.379,0,0,0,1158.307775,1158.307775
170,0,5.639,0.98,1,-14.095,31.452,555.3,-122.1,1420.3,16.542,13.529,6.936,0,0,0,1099.645889,1099.645889
171,0,5.672,0.98,1,-19.563,31.775,548.7,-123.6,1416.9,16.112,17.488,8.196,0,0,0,1099.645889,1099.645889
172,0,5.706,0.98,1,-22.518,30.657,542.6,-125.1,1415.7,15.569,20.618,9.468,0,0,17.93976125,1099.645889,1081.706127
173,0,5.739,0.98,1,-25.081,31.06,534.2,-126.1,1406.7,15.536,24.355,10.341,0,0,63.8675166,1099.645889,1035.778372
174,0,5.772,0.98,1,-28.02,30.548,524,-126.7,1391.6,15.39,28.071,11.09,0,14.41176471,96.14264579,1099.645889,1003.503243
175,0,5.806,0.98,1,-32.386,30.701,512.4,-126.9,1372.1,15.88,32.436,11.425,0,71.15151515,111.840553,1156.98496,1045.144407
176,0,5.839,0.98,1,-40.34,31.63,504,-127.9,1360.2,18.228,35.948,11.18,0,84.55882353,107.8091091,909.1304302,801.3213212
177,0,5.873,0.98,1,-44.353,31.782,497.4,-128.8,1349.2,21.103,38.405,10.808,0,61.54545455,97.91878394,367.9346998,270.0159159
178,0,5.906,0.98,1,-46.164,31.587,489.2,-128.7,1333.2,23.134,40.332,10.596,0,11.60606061,97.91878394,32.46973836,0
179,0,5.939,0.98,1,-47.049,30.624,484.1,-129.1,1322.5,23.517,41.126,11.282,0,15.02941176,88.95461822,25.33024719,0
180,0,5.973,0.98,1,-47.335,30.048,481.2,-129,1317.2,24.028,41.753,11.684,0,0,77.94732304,7.454058251,0
181,0,6.006,0.98,1,-47.287,29.706,480.5,-129.1,1317,23.894,41.889,12.234,-13.39393939,0,74.84484847,18.27660814,0
182,0,6.039,0.98,1,-47.29,29.152,480.8,-129.6,1319,23.65,41.447,12.944,-22.97058824,0,76.15520216,18.27660814,0
183,0,6.073,0.98,1,-47.662,28.135,482.5,-129.7,1323.7,22.969,40.666,13.648,-22.45454545,0,63.95135841,17.94511136,0
184,0,6.106,0.98,1,-45.813,29.354,484.3,-130,1328.9,22.58,39.925,14.303,-20.66666667,0,46.74817103,17.82517147,0
185,0,6.139,0.98,1,-45.474,28.747,486.1,-129.8,1333,22.257,39.243,14.748,-14.97058824,4.323529412,28.81864043,31.53147875,2.71283832
186,0,6.173,0.98,1,-44.935,30,484.8,-129.4,1330.5,22.404,38.734,14.733,-13.84848485,0,17.50218173,33.745499,16.24331727
187,0,6.206,0.98,1,-45.341,28.039,486.2,-129.4,1333.7,21.811,38.277,15.001,0,8.088235294,13.83403502,31.86785987,18.03382484
188,0,6.24,0.98,1,-44.72,28.504,486,-129.1,1333.3,22.086,38.506,14.727,-4.606060606,1.696969697,54.8883248,36.842608,0
189,0,6.273,0.98,1,-44.455,28.002,486,-128.7,1333,22.142,38.354,14.579,-5.666666667,0,106.7936571,35.01573743,0
